Element id: div_1471019232785, X: 255, Y: 225 [object DragEvent] 1471019244143
Element id: drag1, X: 574, Y: 52 [object MouseEvent] 1471019248426
Element id: drag1, X: 574, Y: 52 [object DragEvent] 1471019248570
Element id: drag1, X: 378, Y: 352 [object DragEvent] 1471019250592
Element id: drag1, X: 576, Y: 46 [object MouseEvent] 1471019252108
Element id: drag1, X: 576, Y: 46 [object DragEvent] 1471019252302
Element id: drag1, X: 476, Y: 350 [object DragEvent] 1471019255503
Element id: drag1, X: 574, Y: 58 [object MouseEvent] 1471019256450
Element id: drag1, X: 574, Y: 58 [object DragEvent] 1471019256579
Element id: drag1, X: 523, Y: 388 [object DragEvent] 1471019259629
Element id: drag1, X: 586, Y: 45 [object MouseEvent] 1471019260766
Element id: drag1, X: 586, Y: 45 [object DragEvent] 1471019260950
Element id: drag1, X: 524, Y: 437 [object DragEvent] 1471019263036
Element id: div_1471019263005, X: 221, Y: 267 [object MouseEvent] 1471019263841
Element id: div_1471019263005, X: 221, Y: 267 [object DragEvent] 1471019264049
Element id: drag1, X: 578, Y: 70 [object MouseEvent] 1471019266463
Element id: drag1, X: 578, Y: 70 [object DragEvent] 1471019266624
Element id: drag1, X: 525, Y: 510 [object DragEvent] 1471019269290
Element id: drag1, X: 579, Y: 50 [object MouseEvent] 1471019274277
Element id: drag1, X: 579, Y: 50 [object DragEvent] 1471019274824
Element id: drag1, X: 479, Y: 534 [object DragEvent] 1471019276268
Element id: drag1, X: 575, Y: 47 [object MouseEvent] 1471019277107
Element id: drag1, X: 575, Y: 47 [object DragEvent] 1471019277235
Element id: drag1, X: 381, Y: 533 [object DragEvent] 1471019279556
Element id: proceedbutton, X: 614, Y: 391 [object MouseEvent] 1471019280613
Result: wrong number chosen, PUID: Hlat, 1471019284226
Result: Lattice positions incorrect, PUID: Hlat, 1471019286861
Element id: div_1471019279531, X: 74, Y: 365 [object MouseEvent] 1471019317990
Element id: div_1471019279531, X: 74, Y: 365 [object DragEvent] 1471019318199
Element id: , X: 172, Y: 371 [object MouseEvent] 1471019319727
Element id: div_1471019276243, X: 172, Y: 365 [object MouseEvent] 1471019321742
Element id: div_1471019276243, X: 172, Y: 365 [object DragEvent] 1471019322065
Element id: div_1471019250567, X: 75, Y: 182 [object MouseEvent] 1471019324077
Element id: div_1471019250567, X: 75, Y: 182 [object DragEvent] 1471019324231
Element id: div_1471019245922, X: 121, Y: 156 [object MouseEvent] 1471019334360
Element id: div_1471019245922, X: 121, Y: 156 [object DragEvent] 1471019334965
Element id: , X: 267, Y: 266 [object MouseEvent] 1471019337142
Element id: div_1471019336133, X: 266, Y: 255 [object MouseEvent] 1471019338429
Element id: div_1471019336133, X: 266, Y: 255 [object DragEvent] 1471019338669
Element id: div_1471019265128, X: 218, Y: 279 [object MouseEvent] 1471019341162
Element id: div_1471019265128, X: 218, Y: 279 [object DragEvent] 1471019341355
Element id: div_1471019269279, X: 220, Y: 341 [object MouseEvent] 1471019344060
Element id: div_1471019269279, X: 220, Y: 341 [object DragEvent] 1471019344262
Element id: , X: 270, Y: 364 [object MouseEvent] 1471019354337
Element id: div_1471019345904, X: 268, Y: 364 [object MouseEvent] 1471019356160
Element id: div_1471019345904, X: 268, Y: 364 [object DragEvent] 1471019356416
Element id: div_1471019259603, X: 217, Y: 218 [object MouseEvent] 1471019358485
Element id: div_1471019259603, X: 217, Y: 218 [object DragEvent] 1471019358680
Element id: div_1471019255477, X: 169, Y: 184 [object MouseEvent] 1471019360846
Element id: div_1471019255477, X: 169, Y: 184 [object DragEvent] 1471019361001
Element id: drag1, X: 576, Y: 53 [object MouseEvent] 1471019363315
Element id: drag1, X: 576, Y: 53 [object DragEvent] 1471019363453
Element id: drag1, X: 668, Y: 415 [object DragEvent] 1471019365677
Element id: drag1, X: 577, Y: 51 [object MouseEvent] 1471019366877
Element id: drag1, X: 577, Y: 51 [object DragEvent] 1471019366989
Element id: drag1, X: 671, Y: 473 [object DragEvent] 1471019368887
Element id: drag1, X: 583, Y: 55 [object MouseEvent] 1471019370109
Element id: drag1, X: 583, Y: 55 [object DragEvent] 1471019370221
Element id: drag1, X: 672, Y: 532 [object DragEvent] 1471019372136
Element id: , X: 378, Y: 361 [object MouseEvent] 1471019373096
Element id: proceedbutton, X: 613, Y: 397 [object MouseEvent] 1471019375427
Result: wrong number chosen, PUID: Hlat, 1471019377529
Result: Lattice positions incorrect, PUID: Hlat, 1471019379003
Element id: div_1471019372108, X: 371, Y: 358 [object MouseEvent] 1471019380366
Element id: div_1471019372108, X: 371, Y: 358 [object DragEvent] 1471019380581
Element id: , X: 413, Y: 283 [object MouseEvent] 1471019384766
Element id: div_1471019381264, X: 411, Y: 277 [object MouseEvent] 1471019388054
Element id: div_1471019381264, X: 411, Y: 277 [object DragEvent] 1471019388327
Element id: drag1, X: 579, Y: 48 [object MouseEvent] 1471019391053
Element id: drag1, X: 579, Y: 48 [object DragEvent] 1471019391207
Element id: drag1, X: 766, Y: 471 [object DragEvent] 1471019394063
Element id: , X: 958, Y: 209 [object MouseEvent] 1471019411819
Element id: backblockA, X: 1282, Y: 367 [object MouseEvent] 1471019417099
Element id: instructions-p, X: 790, Y: 488 [object MouseEvent] 1471019417927
Element id: drag1, X: 580, Y: 51 [object MouseEvent] 1471019429518
Element id: drag1, X: 580, Y: 51 [object DragEvent] 1471019429687
Element id: drag1, X: 720, Y: 449 [object DragEvent] 1471019431411
Element id: div_1471019431385, X: 422, Y: 277 [object MouseEvent] 1471019432353
Element id: div_1471019431385, X: 422, Y: 277 [object DragEvent] 1471019432616
Element id: proceedbutton, X: 606, Y: 393 [object MouseEvent] 1471019435638
Result: correct number chosen, PUID: Hlat, 1471019442255
Result: Lattice Positions correct, PUID: Hlat, 1471019448638
Element id: 3-6latb2, X: 1005, Y: 273 [object MouseEvent] 1471019451726
Element id: 3-6latb, X: 236, Y: 606 [object MouseEvent] 1471019476990
Element id: , X: 402, Y: 276 [object MouseEvent] 1471019487414
Element id: div_1471019433683, X: 406, Y: 275 [object MouseEvent] 1471019493087
Element id: div_1471019433683, X: 406, Y: 275 [object DragEvent] 1471019493345
Element id: drag1, X: 584, Y: 54 [object MouseEvent] 1471019499546
Element id: drag1, X: 584, Y: 54 [object DragEvent] 1471019499715
Element id: drag1, X: 529, Y: 271 [object DragEvent] 1471019501212
Element id: drag1, X: 577, Y: 52 [object MouseEvent] 1471019503168
Element id: drag1, X: 577, Y: 52 [object DragEvent] 1471019503297
Element id: drag1, X: 525, Y: 210 [object DragEvent] 1471019504683
Element id: div_1471019501206, X: 232, Y: 101 [object MouseEvent] 1471019505642
Element id: div_1471019501206, X: 232, Y: 101 [object DragEvent] 1471019505982
Element id: div_1471019501206, X: 522, Y: 270 [object DragEvent] 1471019507032
Element id: div_1471019501206, X: 230, Y: 97 [object MouseEvent] 1471019508175
Element id: div_1471019501206, X: 230, Y: 97 [object DragEvent] 1471019508434
Element id: drag1, X: 584, Y: 53 [object MouseEvent] 1471019511770
Element id: drag1, X: 584, Y: 53 [object DragEvent] 1471019511907
Element id: drag1, X: 576, Y: 293 [object DragEvent] 1471019513861
Element id: drag1, X: 579, Y: 56 [object MouseEvent] 1471019515756
Element id: drag1, X: 579, Y: 56 [object DragEvent] 1471019515887
Element id: drag1, X: 575, Y: 232 [object DragEvent] 1471019517023
Element id: div_1471019513855, X: 279, Y: 125 [object MouseEvent] 1471019517875
Element id: div_1471019513855, X: 279, Y: 125 [object DragEvent] 1471019518174
Element id: div_1471019513855, X: 571, Y: 293 [object DragEvent] 1471019519249
Element id: div_1471019513855, X: 277, Y: 120 [object MouseEvent] 1471019520291
Element id: div_1471019513855, X: 277, Y: 120 [object DragEvent] 1471019520471
Element id: drag1, X: 575, Y: 62 [object MouseEvent] 1471019523444
